Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-12-20 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,363.99,403.62,52.26,45.90,spp.org; eia.gov
2021-12-21 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,481.33,524.97,39.65,33.13,spp.org; eia.gov
2021-12-22 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,506.40,548.27,38.33,31.70,spp.org; eia.gov
2021-12-23 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,366.71,398.07,56.46,49.61,spp.org; eia.gov
2021-12-24 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,218.45,242.21,73.85,67.86,spp.org; eia.gov
2021-12-25 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,417.49,452.50,49.97,43.70,spp.org; eia.gov
2021-12-26 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,326.16,356.36,60.75,54.67,spp.org; eia.gov
2021-12-27 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,342.26,375.31,57.76,51.13,spp.org; eia.gov
2021-12-28 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,293.78,321.66,64.91,58.06,spp.org; eia.gov
2021-12-29 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,468.69,516.09,38.84,31.95,spp.org; eia.gov
2021-12-30 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,485.05,528.23,39.58,32.68,spp.org; eia.gov
2021-12-31 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,293.78,319.16,66.23,59.41,spp.org; eia.gov
